type,ident,lat,long,y_proj,x_proj,comment,altitude,model,ltime
WAYPOINT,M543,35.09689942,-115.08501322,3885465.89801288,674551.638818147,21-MAR-12 13:48,1139,GPSMap60, 
WAYPOINT,M544,35.10138986,-115.08297902,3885967.54087522,674727.493472013,21-MAR-12 13:53,1121,GPSMap60, 
WAYPOINT,M545,35.10323144,-115.08483988,3886168.54427659,674553.936546636,21-MAR-12 13:55,1123,GPSMap60, 
WAYPOINT,M546,35.10601181,-115.08580707,3886475.2459325,674459.845730225,21-MAR-12 13:57,1117,GPSMap60, 
WAYPOINT,M547,35.10869008,-115.08573767,3886772.43930098,674460.46136748,21-MAR-12 13:58,1115,GPSMap60, 
WAYPOINT,M548,35.11278313,-115.08917106,3887220.42716827,674138.802511715,21-MAR-12 14:02,1112,GPSMap60, 
WAYPOINT,M549,35.11351311,-115.09153141,3887297.27022021,673922.120009646,21-MAR-12 14:02,1113,GPSMap60, 
WAYPOINT,M550,35.11604276,-115.09782722,3887566.87690188,673342.943012288,21-MAR-12 14:04,1121,GPSMap60, 
WAYPOINT,M551,35.11656546,-115.09893573,3887622.9247891,673240.80670308,21-MAR-12 14:05,1116,GPSMap60, 
WAYPOINT,M552,35.11960641,-115.10508670,3887949.53762289,672673.793209267,21-MAR-12 14:07,1114,GPSMap60, 
WAYPOINT,M553,35.09799376,-115.19980414,3885392.14407201,664085.06912538, ,0,GPSMap60, 
WAYPOINT,M554,35.09785144,-115.20448132,3885368.66345616,663658.991031146, ,0,GPSMap60, 
WAYPOINT,M555,35.07026894,-115.26672265,3882208.85543204,658038.42914896, ,0,GPSMap60, 
WAYPOINT,M556,35.10641724,-115.16405859,3886385.92635619,667326.354624816, ,0,GPSMap60, 
WAYPOINT,M557,35.10929106,-115.16287297,3886706.67644977,667428.542996618, ,0,GPSMap60, 
WAYPOINT,M558,35.09969629,-115.15072055,3885662.94650706,668555.950512286, ,0,GPSMap60, 
WAYPOINT,M559,35.11687752,-115.07684170,3887696.20938213,675253.773751957, ,0,GPSMap60, 
WAYPOINT,M560,35.11241114,-115.06400381,3887223.47468084,676433.442986095, ,0,GPSMap60, 
WAYPOINT,M561,35.10175237,-115.07741234,3886017.53094961,675234.155921203, ,0,GPSMap60, 
WAYPOINT,M562,35.10516808,-115.07374182,3886402.86442412,675561.418693013, ,0,GPSMap60, 
WAYPOINT,M563,35.09209651,-115.10131812,3884904.71289857,673075.418212712, ,0,GPSMap60, 
WAYPOINT,M564,35.09412711,-115.10358710,3885126.00443879,672864.276098411, ,0,GPSMap60, 
WAYPOINT,M565,35.07494831,-115.16183001,3882899.22262792,667593.885457257, ,0,GPSMap60, 
WAYPOINT,M566,35.07683046,-115.15940588,3883112.06461509,667811.073170873, ,0,GPSMap60, 
WAYPOINT,M567,35.07863861,-115.15726908,3883316.21990861,668002.203562097, ,0,GPSMap60, 
WAYPOINT,M568,35.08098319,-115.15435788,3883581.18638737,668262.831900125, ,0,GPSMap60, 
WAYPOINT,M569,35.08299929,-115.15045350,3883811.40709533,668614.674592662, ,0,GPSMap60, 
WAYPOINT,M570,35.08510374,-115.14721390,3884050.31456285,668905.707289677, ,0,GPSMap60, 
WAYPOINT,M571,35.08417016,-115.16824535,3883911.31340767,666990.106503636, ,0,GPSMap60, 
WAYPOINT,M572,35.08567253,-115.16659194,3884080.72435208,667137.788600831, ,0,GPSMap60, 
WAYPOINT,M573,35.08677903,-115.16466133,3884206.69460771,667311.546402096, ,0,GPSMap60, 
WAYPOINT,M574,35.08818710,-115.16196169,3884367.41081239,667554.794872992, ,0,GPSMap60, 
WAYPOINT,M575,35.08608115,-115.15996026,3884137.19230572,667741.578200064, ,0,GPSMap60, 
WAYPOINT,M576,35.08450074,-115.15904294,3883963.44223523,667828.450742635, ,0,GPSMap60, 
WAYPOINT,M577,35.07829880,-115.16585181,3883264.09320387,667220.321128599, ,0,GPSMap60, 
WAYPOINT,M578,35.11871743,-115.14850706,3887776.48058466,668718.500803943, ,0,GPSMap60, 
WAYPOINT,M579,35.11879412,-115.15353595,3887776.47555827,668260.030978552, ,0,GPSMap60, 
WAYPOINT,M580,35.11791134,-115.16091529,3887666.11201934,667589.318774214, ,0,GPSMap60, 
WAYPOINT,M581,35.15337316,-115.13234440,3891647.96230426,670119.362169427, ,0,GPSMap60, 
WAYPOINT,M582,35.13927061,-115.14608486,3890060.3126862,668896.789400951, ,0,GPSMap60, 
WAYPOINT,M583,35.12665031,-115.17753736,3888607.56208565,666056.698695133, ,0,GPSMap60, 
WAYPOINT,MARYJANE,36.29069198,-115.83334350,4016822.0040615,604763.997127425,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD01,34.62541712,-115.16313080,3833038.0100546,668388.996590922,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD02,35.34769108,-115.93253578,3912124.00810636,596997.001224115,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD03,33.60252762,-115.44228296,3719173.35910338,644526.366825604,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD04,33.60235814,-115.44340001,3719153.00662917,644422.999398163,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD05,34.68239989,-115.67705956,3838619.00594699,621190.003823233,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD06,34.71367923,-115.67781737,3842087.0086302,621075.002702117,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD07,33.21238649,-116.43937337,3674972.00961522,552247.001866187,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD08,33.22145060,-116.45749480,3675968.00552167,550552.996929783,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD09,34.88408701,-115.41244028,3861338.01097101,645078.997011177,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD10,35.04058862,-115.61766850,3878417.00863965,626083.000109081,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD11,35.36423134,-115.90478942,3913986.01211897,599498.001743869,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD12,34.67286657,-115.18335390,3838267.01106023,666439.999140332,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD13,34.11500179,-115.73509729,3775629.01073682,616658.002173799,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD14,34.11066441,-115.48714064,3775459.00859595,639534.998097263,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MD15,34.07112312,-115.31863857,3771317.00755828,655149.997068526,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MDWC 1,34.22723556,-116.14213734,3787684.04719165,579012.36670748,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MDWC 2,34.24389292,-116.24796281,3789454.08298965,569251.717600427,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MDWC 3,34.46414259,-116.58836950,3813697.43714249,537806.39917328,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MDWC 4,34.41113502,-116.73486857,3807774.65201309,524366.850245802,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MDWC 6,34.37990723,-116.85969489,3804289.01162019,512900.007639953,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MDWC 7,34.29486243,-116.79491032,3794869.00993217,518875.006774085,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MDWC 8,34.30455694,-116.82999982,3795938.01625101,515644.003511007,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA01,35.20912187,-115.25631459,3897626.44949161,658717.663086691,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA02,35.16292853,-116.11178814,3891472.0109923,580892.001568726,08:04 04-OCT-12,0,GPSMap60, 
